filename,title,creator,location,exact_spot,intimacy_level,date_stamp,daytime_icon,rawness_percent,context
image1,Two Dolls in Study,voidsketch,-,toilet,2,-,☀️,97%,-
image10,Beneath the Birds,#lostfound,"Montreal, Canada",during traffic in my car,10,Third week of lockdown,🍷,52%,-
image100,People by the Shore,voidsketch,"Chefchaouen, Morocco",riverbank,20,Middle of summer,-,59%,-
image101,Whispers in the Living Room,hiddenhands,"Valparaíso, Chile",forest clearing,35,Full moon in March,☀️,90%,-
image102,Falling Stars in Panels,-,"Athens, Greece",by the fireplace,13,21/09/99,-,53%,-
image103,Echoes of Color,#unknown,"Toronto, Canada",mountain lookout,19,One rainy afternoon,🍷,80%,-
image104,Ode to the Apple and Orange,#artifact,"Montreal, Canada",kitchen table,11,Winter of '98,🍷,61%,-
image105,Shadows on the Inflatable,driftmark,"Oaxaca, Mexico",attic room,12,First week of college,🍝,58%,-
image106,Ode to the Purple Monster,#artifact,"Paris, France",train window seat,22,Winter break,-,92%,-
image107,Shadows of the Woman in White,-,"Chefchaouen, Morocco",in bed at midnight,38,On my sister's wedding day,🍷,61%,-
image108,Portrait with Headscarf,#unseen,"Budapest, Hungary",forest clearing,35,Middle of summer,☕,84%,-
image109,Ode to Many Things,#artifact,"Reykjavík, Iceland",during traffic in my car,10,Winter of '98,-,72%,-
image11,Homage to the Woman with Red Hair,shade_studio,"Siwa Oasis, Egypt",during traffic in my car,10,Before the big storm,-,87%,-
image110,Portrait of the Table and Lamp,pale_ink,"Luang Prabang, Laos",bar counter,9,After the last train,🍝,51%,While sitting in traffic I started sketching on my phone
image111,Tennis Player,anon,"Berlin, Germany",bus seat,7,The festival weekend,🌙,67%,-
image112,Dreaming of the Shetland Collie,#wandering,"Marrakesh, Morocco",in bed at midnight,38,Night of the eclipse,🍷,90%,-
image113,Owls and Squirrels,#lostfound,"Luang Prabang, Laos",hotel balcony,28,Early spring 2005,☀️,69%,-
image114,Red Scissors Dream,midnightbrush,"Luang Prabang, Laos",toilet,2,Worst birthday I've ever had,🌙,72%,-
image115,Between the Tiger Balm,-,"Acre, Israel",forest clearing,35,The day we met,☕,95%,-
image116,Scallop Shell and Red Dots,#artifact,"New Orleans, USA",museum hallway,33,Early morning in August,☀️,-,-
image117,Four Creatures,pale_ink,"Tiberias, Israel",train window seat,22,Full moon in March,-,67%,-
image118,Red Dragon Shadows,driftmark,"Goa, India",seashore rocks,27,My last day at work,🍝,52%,Made while lying on the floor staring at the ceiling
image119,Hedgehog and Apple,voidsketch,"Rosh Hanikra, Israel",rain-soaked café,16,Early spring 2005,☕,98%,-
image12,Paint and Pastel Echoes,lumenveil,"Fez, Morocco",forest clearing,35,Before the big storm,☀️,62%,-
image120,Two Beetles and a Star,lumenveil,"Nara, Japan",by the fireplace,13,Full moon in March,🍝,59%,-
image121,Beneath the Spider,anon,-,bus seat,7,Midnight in April,-,60%,-
image122,Grasshopper Shadows,#unseen,"Reykjavík, Iceland",train window seat,22,Day after graduation,-,76%,-
image123,Ladybug Whispers,#artifact,"Nara, Japan",hidden alleyway,26,During the blackout,🍷,51%,-
image124,Green Vase Whispers,ghostline,"Marrakesh, Morocco",balcony at sunset,14,Winter of '98,-,-,-
image125,UFO in the Night,#artifact,"Fez, Morocco",library window,30,Summer solstice,🍝,-,-
image126,Cars on the Road,driftmark,"Masada, Israel",hotel balcony,28,Middle of summer,☕,60%,-
image127,Vase of Flowers and Child,midnightbrush,"Lamu, Kenya",library window,30,Midnight in April,🍷,52%,-
image128,Woman with Fish and Other Things,#lostfound,"Tel Aviv, Israel",forest clearing,35,During the blackout,☀️,55%,-
image129,Woman in Hat,pixelnomad,"Dead Sea, Israel",train window seat,22,Middle of summer,-,54%,-
image13,Ink Collage,#unseen,"New York, USA",backstage dressing room,25,04/07/11,-,66%,-
image130,Woman with Earrings,#forgotten,"Montreal, Canada",office desk corner,6,During the blackout,🍝,55%,-
image131,"Leaves, Branches, Snowflakes",dusk_drawer,"Paris, France",during traffic in my car,10,Last June,☕,77%,-
image132,Burrito with Lettuce and Tomato,voidsketch,"Pingyao, China",bridge at dusk,31,Halloween night,🌙,84%,-
image133,Woman in Headscarf,silent_form,"Oaxaca, Mexico",beach,3,One rainy afternoon,🍷,59%,-
image134,Potted Plant on a Small Table,silent_form,"Paris, France",toilet,2,Night of the eclipse,🍝,75%,-
image135,Man on the Balcony,anon,"Goa, India",candlelit room,24,The day the power went out,🍝,94%,-
image136,Purple Trees in a Field,moonframe,"Berlin, Germany",candlelit room,24,Halloween night,☀️,83%,-
image137,Oranges in a Bowl,nameless_one,"Amsterdam, Netherlands",kitchen table,11,Winter break,🍝,84%,-
image138,Ink and Gouache,dusk_drawer,"Rome, Italy",attic room,12,An endless Sunday,🍷,70%,Found an old notebook and sketched over my old school notes
image139,Colored Pencils and Crayons,pale_ink,"Prague, Czech Republic",secluded garden,23,Early spring 2005,🍷,63%,-
image14,Lemon,ghostline,"Safed, Israel",balcony at sunset,14,Midnight in April,🍝,98%,-
image140,New World Logo,lumenveil,"Dead Sea, Israel",under the old oak tree,15,The day the power went out,🍝,82%,-
image141,Man in Hat with Tie,#unknown,"Reykjavík, Iceland",candlelit room,24,04/07/11,-,72%,-
image142,Person Lying on the Ground,hiddenhands,"Masada, Israel",bar counter,9,Worst birthday I've ever had,🍝,53%,-
image143,"Rocket, Space Station, Satellite",midnightbrush,"Jaffa, Israel",school hallway,5,Autumn equinox,🌙,54%,-
image144,Blue Man in Red Hat,moonframe,"Reykjavík, Iceland",on the rooftop,37,After the last train,-,-,-
image145,Red Devil Doll,moonframe,"Nara, Japan",hidden alleyway,26,Last June,☕,97%,-
image146,"Dog, Cat, and Bird",#unknown,"Zanzibar, Tanzania",airport lounge,36,Early spring 2005,☕,87%,-
image147,Poem in Words,driftmark,"Tel Aviv, Israel",forest clearing,35,Winter break,🌙,78%,-
image148,Blue Table Lamp,silent_form,"Venice, Italy",on the rooftop,37,Early spring 2005,🌙,52%,-
image149,Chinese Character with Bronze Disk,dusk_drawer,"Samarkand, Uzbekistan",on the rooftop,37,An endless Sunday,🍝,50%,-
image15,Tomato Cut in Half,driftmark,"Budapest, Hungary",secluded garden,23,Midnight in April,🌙,74%,-
image150,Tall White Column,anon,"Venice, Italy",museum hallway,33,An endless Sunday,-,79%,-
image151,Hand‑Drawn City Map,moonframe,"Tiberias, Israel",school hallway,5,On my sister's wedding day,🍷,-,-
image152,Colorful Glass Sphere,-,"New York, USA",library window,30,Full moon in March,-,98%,-
image153,Black and White Abstract,#artifact,"Chefchaouen, Morocco",dockside pier,34,Winter break,-,100%,-
image154,Orange Light on White Wall,-,"Fez, Morocco",riverbank,20,Halloween night,🍝,69%,-
image155,Three Views of Gothic,#forgotten,-,rain-soaked café,16,Full moon in March,-,63%,-
image156,Woman Walking in Field with Car,hiddenhands,"Acre, Israel",bus seat,7,First week of college,🍷,88%,-
image157,Woman Sitting in Garden,midnightbrush,"Vancouver, Canada",bar counter,9,Summer solstice,☕,96%,-
image158,Words Then Voice,#forgotten,"Berlin, Germany",abandoned warehouse,17,The day the power went out,🍝,-,-
image159,Black and White Two,pixelnomad,"Berlin, Germany",kitchen table,11,Halloween night,-,63%,-
image16,Lemon Slice with Hole,#lostfound,"Venice, Italy",during traffic in my car,10,First week of college,🌙,91%,-
image160,Sun Rising over Body,#forgotten,"Lamu, Kenya",market square,21,Blue hour in January,☀️,92%,-
image161,Man Sitting at Desk,anon,"Budapest, Hungary",empty classroom,32,04/07/11,🌙,81%,-
image162,Shadows and Leaves,silent_form,"Dead Sea, Israel",under the old oak tree,15,15/05/23,☕,82%,-
image163,Field of Red Poppies,-,"Amsterdam, Netherlands",on the rooftop,37,One rainy afternoon,🍷,55%,-
image164,Black and White Circle,moonframe,"Samarkand, Uzbekistan",train window seat,22,Before the big storm,☀️,53%,-
image165,Interior of Lincoln,moonframe,"Rosh Hanikra, Israel",market square,21,The week before moving out,🍷,93%,Sketched it while waiting for my laundry
image166,White Buddha Sitting in Blue,pixelnomad,"Rosh Hanikra, Israel",school hallway,5,15/05/23,🍷,95%,-
image167,Leaf with Rocks and Pebbles,voidsketch,"Samarkand, Uzbekistan",bridge at dusk,31,First snow of 2012,🍷,68%,-
image168,Circular Structure in the Middle,midnightbrush,"Montreal, Canada",backstage dressing room,25,Autumn equinox,🌙,61%,-
image169,Colorful Abstract on Black,#lostfound,"Takayama, Japan",empty classroom,32,Winter break,🍷,68%,-
image17,Woman Painting Her Face,driftmark,"Hallstatt, Austria",-,1,An endless Sunday,☀️,77%,-
image170,Woman’s Face,pale_ink,"Barcelona, Spain",market square,21,Middle of summer,☀️,96%,-
image171,Woman with Orange Hair,#lostfound,"Rosh Hanikra, Israel",hidden alleyway,26,During the blackout,🍷,55%,-
image172,"Color, Shape, and Motion",pixelnomad,"Goa, India",under the old oak tree,15,Halloween night,☀️,87%,-
image173,Unicorn with Knife and Scissors,driftmark,"Valparaíso, Chile",museum hallway,33,Blue hour in January,☕,93%,-
image174,Man and Dog,shade_studio,"Acre, Israel",under the old oak tree,15,Early spring 2005,☀️,73%,-
image175,Woman Doing Handstand,midnightbrush,"New Orleans, USA",attic room,12,15/05/23,☕,74%,-
image176,Variety of Types,lumenveil,"Acre, Israel",candlelit room,24,15/05/23,🍷,99%,-
image177,Woman’s Face with Flowers,voidsketch,"Reykjavík, Iceland",backstage dressing room,25,Summer solstice,☕,-,-
image178,Design House,midnightbrush,"Haifa, Israel",laundromat corner,29,Day after graduation,☕,60%,-
image179,Yellow Lily with Green Leaves,ghostline,"Rosh Hanikra, Israel",on the rooftop,37,Winter break,-,91%,-
image18,Black and White Ornate,#forgotten,"Rome, Italy",empty classroom,32,Summer solstice,☀️,84%,-
image180,Tulip,anon,"Siwa Oasis, Egypt",under the old oak tree,15,Winter break,☕,95%,I happened to be bored in the office and this is what happened
image181,Rabbit with Leaves,voidsketch,"Kibbutz Ein Gedi, Israel",-,1,Third week of lockdown,🍝,83%,-
image182,"Colored Pencils, Crayons, and Markers",moonframe,"Safed, Israel",bar counter,9,-,☕,83%,-
image183,Inside the Eye,pale_ink,"Jerusalem, Israel",-,1,Winter break,☀️,89%,-
image184,Brain and Skull in Human Head,inktrace,"Fez, Morocco",under the old oak tree,15,Just before sunrise,🌙,59%,Was trying to draw a cat but it became something else
image185,Man on Horse,#unseen,"Montreal, Canada",abandoned warehouse,17,My last day at work,🍝,80%,-
image186,Black and White Woman,silent_form,"New Orleans, USA",attic room,12,Winter of '98,-,54%,-
image187,Person with Rubik’s Cube,shade_studio,"Chefchaouen, Morocco",by the fireplace,13,04/07/11,🌙,98%,-
image188,Man Sitting on Bench,shade_studio,"New York, USA",-,1,The week before moving out,-,-,-
image189,Man in Baseball Cap,shade_studio,"Rome, Italy",under the old oak tree,15,Before the big storm,☕,69%,-
image19,Person Sitting on Bench,ghostline,"Kyoto, Japan",empty classroom,32,The hottest day of the year,🌙,100%,-
image190,All Different Types,moonframe,"Hallstatt, Austria",candlelit room,24,Full moon in March,🍝,96%,I scribbled it during a Zoom meeting instead of paying attention
image191,World Map,midnightbrush,"Paris, France",hotel balcony,28,Blue hour in January,-,71%,-
image192,Black and White Spider,pixelnomad,"Prague, Czech Republic",forest clearing,35,The week before moving out,-,76%,-
image193,"Cubes, Triangles, Squares, Rectangles",pale_ink,"Hallstatt, Austria",backstage dressing room,25,Early morning in August,-,75%,-
image194,Handwritten List of Names,#unseen,"New Orleans, USA",seashore rocks,27,The hottest day of the year,☕,51%,-
image195,Person Holding Brush,lumenveil,"Reykjavík, Iceland",bar counter,9,Night of the eclipse,🌙,55%,-
image196,Acrylic Paint in Blue Light,voidsketch,"Budapest, Hungary",rain-soaked café,16,On my sister's wedding day,-,77%,-
image197,Acrylic Paint and Mixed Collage,shade_studio,"Athens, Greece",rain-soaked café,16,On my sister's wedding day,☀️,76%,-
image198,Various Colors,lumenveil,"Barcelona, Spain",desert roadside,18,31/12/07,🍝,70%,-
image199,Handwritten Letter and Teapots,midnightbrush,"Haifa, Israel",mountain lookout,19,Blue hour in January,🍷,69%,-
image2,Crescent Moon on Back,shade_studio,"Nara, Japan",under the old oak tree,15,Midsummer night,🍝,58%,-
image20,"Acrylics, Pastels, and Gouache",#wandering,"Bariloche, Argentina",backstage dressing room,25,Winter break,☀️,63%,-
image200,Screenshot of iPad App,#lostfound,"Chefchaouen, Morocco",museum hallway,33,Blue hour in January,🍷,54%,-
image201,Woman in Red Dress with Note,lumenveil,"Masada, Israel",-,1,15/05/23,-,86%,-
image202,"Table, Chair, and Doll",pixelnomad,"Rome, Italy",balcony at sunset,14,Summer solstice,-,77%,-
image203,Different Types of Shapes,dusk_drawer,"Dead Sea, Israel",in bed at midnight,38,Just before sunrise,-,72%,-
image204,African Woman with Turban and Earrings,#fragmented,"Ubud, Indonesia",desert roadside,18,Just before sunrise,☀️,91%,-
image205,Black and White,ghostline,"Marrakesh, Morocco",backstage dressing room,25,Early morning in August,🍷,92%,-
image206,Woman Standing in Open Doorway,voidsketch,"Takayama, Japan",mountain lookout,19,New Year's Eve 2010,☀️,98%,-
image207,Patterned Flower,shade_studio,"Eilat, Israel",during traffic in my car,10,The day the power went out,🍝,-,-
image208,Collage with Mache and Paint,moonframe,"Cusco, Peru",on the rooftop,37,Day after graduation,🌙,78%,-
image209,Woman Sitting in Pink Room,-,"Goa, India",airport lounge,36,Blue hour in January,-,69%,-
image21,Pair of Green High Heels,pixelnomad,"Samarkand, Uzbekistan",abandoned warehouse,17,Before the big storm,🌙,52%,-
image210,Heart Shape,dusk_drawer,"Hoi An, Vietnam",by the fireplace,13,15/05/23,🍷,50%,-
image211,Letters and Daisy Lane Mannequin,#wandering,"Tiberias, Israel",attic room,12,The hottest day of the year,-,93%,-
image212,"Red, Yellow, Blue, Green",anon,"Mitzpe Ramon, Israel",toilet,2,Autumn equinox,🍷,94%,-
image213,Carhartt Jacket with Orange Zippers,inktrace,"Budapest, Hungary",riverbank,20,New Year's Eve 2010,🍷,56%,-
image214,Name of Graphic Designer,silent_form,"Dead Sea, Israel",dockside pier,34,First week of college,☀️,93%,-
image215,Spider on Wall with Person,silent_form,"Hallstatt, Austria",attic room,12,My last day at work,-,-,-
image216,Black and White Insect,#unseen,"Chefchaouen, Morocco",office desk corner,6,Autumn equinox,🍷,79%,-
image217,Woman with Blue Hair,inktrace,"Marrakesh, Morocco",bus seat,7,The day we met,☀️,50%,-
image218,Woman Wearing Hat Holding Baby,#fragmented,"Berlin, Germany",under the old oak tree,15,Winter break,☕,50%,-
image219,Woman with Mouth Open,voidsketch,-,empty classroom,32,During the blackout,☕,59%,-
image22,Black and White Woman,inktrace,"Marrakesh, Morocco",on the rooftop,37,The day we met,-,68%,-
image220,"Red, Yellow, Blue, Black",shade_studio,"Siwa Oasis, Egypt",market square,21,Autumn equinox,☀️,98%,-
image221,Hand Reaching Out,voidsketch,"Acre, Israel",desert roadside,18,First week of college,-,86%,-
image222,Interior of Restaurant,hiddenhands,"Haifa, Israel",during traffic in my car,10,Night of the eclipse,🍷,84%,-
image223,Tulip Shape,#unseen,"Acre, Israel",riverbank,20,The week before moving out,☀️,76%,-
image224,Graphics,#artifact,"Venice, Italy",park bench,4,31/12/07,☕,-,-
image225,Black and White People,shade_studio,"Hoi An, Vietnam",riverbank,20,Winter of '98,🍷,96%,-
image226,Logo and Design Trends,driftmark,"San Francisco, USA",secluded garden,23,Halloween night,☀️,65%,-
image227,Mermaid Girl Logo,nameless_one,"Budapest, Hungary",during traffic in my car,10,Blue hour in January,🌙,85%,-
image228,Two Men on Court,-,"Bariloche, Argentina",mountain lookout,19,Summer solstice,☕,-,-
image229,Black Bag with Word,pixelnomad,"Pingyao, China",on the rooftop,37,The hottest day of the year,☕,-,-
image23,Building and Orange Sun,ghostline,"Venice, Italy",laundromat corner,29,After the last train,🌙,75%,-
image230,Quote from Movie with Person,#forgotten,"Prague, Czech Republic",backstage dressing room,25,Middle of summer,☀️,57%,-
image231,Woman’s Face with Words,lumenveil,"Nazareth, Israel",attic room,12,First week of college,🍝,80%,-
image232,Person in Pink Hoodie,#fragmented,"Ubud, Indonesia",hotel balcony,28,First snow of 2012,☕,89%,-
image233,Many Types of Furniture,pale_ink,"Budapest, Hungary",backstage dressing room,25,My last day at work,☀️,-,-
image234,Double U Logo,nameless_one,"Chefchaouen, Morocco",abandoned warehouse,17,Midsummer night,🍝,85%,-
image235,White and Blue Striped Towel,#unknown,"Siwa Oasis, Egypt",on the rooftop,37,Day after graduation,🍷,76%,-
image236,T‑Shirt,dusk_drawer,"Haifa, Israel",in bed at midnight,38,Middle of summer,🍝,66%,-
image237,Glass Desk with Two Stools,pale_ink,"Tiberias, Israel",during traffic in my car,10,21/09/99,☕,64%,-
image238,Logo R,#wandering,"Venice, Italy",by the fireplace,13,Day after graduation,🌙,69%,-
image24,Colorful Crayfish with Green,shade_studio,"Chefchaouen, Morocco",mountain lookout,19,21/09/99,-,82%,-
image240,Woman Sitting at Table,#forgotten,-,hotel balcony,28,The hottest day of the year,🍝,53%,-
image241,Black and White Logo,#fragmented,"Jaffa, Israel",beach,3,First snow of 2012,🌙,96%,-
image242,Beyond This Point,#unseen,"Goa, India",beach,3,New Year's Eve 2010,🍝,86%,-
image243,Process of Making by Hand,#unknown,"Safed, Israel",by the fireplace,13,31/12/07,☕,86%,-
image244,Bear Turning Its Head,-,"Rosh Hanikra, Israel",toilet,2,My last day at work,☀️,82%,-
image245,Black and White Man Lying,dusk_drawer,"Acre, Israel",seashore rocks,27,The festival weekend,🍝,-,-
image247,Spider with Woman on Ground,voidsketch,"Tel Aviv, Israel",backstage dressing room,25,04/07/11,☕,74%,-
image248,Hand Reaching Out,#lostfound,"Prague, Czech Republic",empty classroom,32,Early spring 2005,🌙,96%,-
image249,Different Types of Letters,anon,"New Orleans, USA",airport lounge,36,First snow of 2012,🍝,58%,Got inspired by a random playlist shuffle at midnight
image25,"Man, Woman, and Child",#lostfound,"Venice, Italy",mountain lookout,19,Just before sunrise,☀️,97%,-
image250,Two Spheres,pixelnomad,"Dead Sea, Israel",during traffic in my car,10,Winter break,☕,82%,-
image251,Gothic Arch Shape,#forgotten,"Rosh Hanikra, Israel",market square,21,Third week of lockdown,🌙,83%,-
image252,Group with Metal Scaffolding,#unknown,"Jaffa, Israel",riverbank,20,The hottest day of the year,☕,91%,-
image253,Green and Black Sleeping Bag,moonframe,"Prague, Czech Republic",riverbank,20,The week before moving out,🍷,75%,-
image254,Flower on Beach with Person Lying,voidsketch,"Barcelona, Spain",beach,3,Just before sunrise,-,76%,-
image255,Process of Making Felted,shade_studio,"Folegandros, Greece",on the rooftop,37,Halloween night,☕,84%,-
image256,Spiral Pattern on Side,-,"Lamu, Kenya",empty classroom,32,Before the big storm,☀️,63%,-
image257,Different Types of Crabs,midnightbrush,"Valparaíso, Chile",bus seat,7,My last day at work,☀️,97%,-
image258,"Chair, Stool, and Table",-,"Nara, Japan",metro station,8,The festival weekend,☀️,56%,-
image259,Pair of Wooden Puppets,ghostline,"Jerusalem, Israel",park bench,4,Autumn equinox,-,-,-
image26,Tomato Cut in Half,#artifact,"Hallstatt, Austria",forest clearing,35,Full moon in March,☀️,69%,-
image260,Bear and Dog,moonframe,"Bariloche, Argentina",during traffic in my car,10,Autumn equinox,☀️,96%,-
image261,Quote from Book,lumenveil,"Valparaíso, Chile",forest clearing,35,04/07/11,-,87%,-
image262,List of Words and Phrases,anon,"Kathmandu, Nepal",-,1,21/09/99,-,53%,-
image263,Sailboat Floating in the Ocean,driftmark,"Safed, Israel",backstage dressing room,25,Midnight in April,🍷,68%,-
image264,Woman in Canoe on Lake,#artifact,"Eilat, Israel",market square,21,04/07/11,🍷,93%,-
image265,Rocket on the Ground,#lostfound,"Barcelona, Spain",beach,3,-,🍝,74%,-
image266,"Pencil, Snake, and Compass",voidsketch,"Zanzibar, Tanzania",by the fireplace,13,Night of the eclipse,-,100%,-
image267,Letters of the Alphabet,voidsketch,"Jaffa, Israel",during traffic in my car,10,The day we met,☀️,81%,-
image268,Dragon Hand Holding,nameless_one,"Sapa, Vietnam",secluded garden,23,The festival weekend,🍷,99%,-
image269,Octopus in Swimming Pool,inktrace,"Samarkand, Uzbekistan",hotel balcony,28,-,☕,91%,-
image27,Head with Snake,#wandering,"Toronto, Canada",kitchen table,11,One rainy afternoon,☀️,100%,-
image270,Black and White Squares,#unseen,"Caesarea, Israel",kitchen table,11,First week of college,☀️,53%,-
image271,"Plants, Flowers, Birds, and Cat",voidsketch,"Acre, Israel",market square,21,Third week of lockdown,🍝,65%,-
image272,"House, Barn, and Shed",-,"Ubud, Indonesia",during traffic in my car,10,Worst birthday I've ever had,☕,72%,-
image273,Young Black Woman in Beige,#wandering,"Athens, Greece",hidden alleyway,26,The week before moving out,☕,100%,-
