filename,title,@creator,location,exact_spot,intimacy_level,date_stamp,daytime_icon,rawness_percent,BLIP_description,artistic_description,keywords,keyword_confidences,vibe,context
image1,Two Dolls in Study,@pink_flamingo,-,toilet,2,-,☀️,0.97,-,"a of two dolls, one wearing a shirt and the other wearing shorts",shorts; wearing; shirt; bodies; models; perfume; dolls; children; anatomy; heads; couple,0.7346; 0.7339; 0.7176; 0.2832; 0.2722; 0.2691; 0.2648; 0.2644; 0.2622; 0.2604; 0.2602,serene,-
image10,Beneath the Birds,@stellar_wind,"Montreal, Canada",during traffic in my car,10,Third week of lockdown,🍷,0.52,-,two birds perched on a branch with yellow flowers,branch; flowers; birds; inkjet; bird; prints; painted; pair; preliminary; ecuador,0.7368; 0.7333; 0.2722; 0.2602; 0.258; 0.2555; 0.2541; 0.2531; 0.2526; 0.2523,warm,-
image100,People by the Shore,@yellow_bird,"Chefchaouen, Morocco",riverbank,20,Middle of summer,-,0.59,-,a of people on the beach with buildings in the,buildings; beach; wellington; honolulu; monaco; postcard; strand; citysearch; migration,0.7512; 0.7404; 0.2689; 0.2631; 0.2621; 0.2614; 0.2572; 0.2567; 0.2557,neutral,-
image101,Whispers in the Living Room,@inside_out,"Valparaíso, Chile",forest clearing,35,Full moon in March,☀️,0.9,-,"a living room with a television, bookshelves, and a clock on the wall",clock; room; bookshelves; living; bureau; television; desk; monitor; desktop; desktops; hdtv; widescreen,0.7617; 0.7422; 0.718; 0.7068; 0.2721; 0.2702; 0.2672; 0.2662; 0.2649; 0.2637; 0.2635; 0.262,serene,-
image102,Falling Stars in Panels,-,"Athens, Greece",by the fireplace,13,21/09/99,-,0.53,-,a comic strip with stars falling from the sky,sky; strip; comics; stars; starsmerchant; wishes; particle; astronomy; astrology; star,0.7224; 0.7154; 0.2669; 0.2667; 0.2639; 0.2637; 0.2617; 0.261; 0.259; 0.2576,neutral,-
image103,Echoes of Color,@garnet_sun,"Toronto, Canada",mountain lookout,19,One rainy afternoon,🍷,0.8,-,different colored circles in different sizes,sizes; circles; pattern; molecules; dot; cells; patterns; nodes; shapes,0.7197; 0.2883; 0.2698; 0.2696; 0.2648; 0.2635; 0.2633; 0.2617; 0.2612,warm,-
image104,Ode to the Apple and Orange,@enigmatic_smile,"Montreal, Canada",kitchen table,11,Winter of '98,🍷,0.61,-,"an apple and an orange with the word ""love"" written on them",apple; orange; word; agricultural; agriculture; gras; plants; plant; vegetables; vegetable; peas,0.7371; 0.7023; 0.6857; 0.2897; 0.2838; 0.2734; 0.2725; 0.272; 0.2698; 0.2696; 0.268,warm,-
image105,Shadows on the Inflatable,@kunzite_dawn,"Oaxaca, Mexico",attic room,12,First week of college,🍝,0.58,-,two people sitting on an inflatable duck in the water,water; google; animals; dogs; msn; pets; orgy; duck; seal,0.7088; 0.2807; 0.2744; 0.2715; 0.2708; 0.2684; 0.2668; 0.2607; 0.2606,mysterious,-
image106,Ode to the Purple Monster,@orange_sunset,"Paris, France",train window seat,22,Winter break,-,0.92,-,a of a purple monster with yellow eyes and green leaves,monster; eyes; leaves; vegetable; produce; fruit; fig; onion; defend; vegetables; fruits,0.7409; 0.7177; 0.7137; 0.292; 0.2836; 0.2825; 0.2815; 0.2787; 0.276; 0.2755; 0.2715,cool,-
image107,Shadows of the Woman in White,-,"Chefchaouen, Morocco",in bed at midnight,38,On my sister's wedding day,🍷,0.61,-,a black and white of a woman's face,face; sudan; ana; diana; lady; belle; marina; carmen; jane,0.7486; 0.2713; 0.2682; 0.2658; 0.2647; 0.263; 0.2623; 0.2622; 0.2606,neutral,-
image108,Portrait with Headscarf,@cosmic_dance,"Budapest, Hungary",forest clearing,35,Middle of summer,☕,0.84,-,the head of a woman wearing a headscarf,headscarf; collar; ana; anne; lady; pilot; headset; head,0.8037; 0.2774; 0.2761; 0.2748; 0.2734; 0.2708; 0.2704; 0.2703,serene,-
image109,Ode to Many Things,@turquoise_sea,"Reykjavík, Iceland",during traffic in my car,10,Winter of '98,-,0.72,-,"a variety of items, including a woman in a blue dress, a dog, and a cat",items; variety; dress; blues; blue; objects; inventory; stamps; draws; symbols; shapes,0.7595; 0.7383; 0.7139; 0.2866; 0.2798; 0.2748; 0.2701; 0.2693; 0.2691; 0.269; 0.2686,melancholic,-
image11,Homage to the Woman with Red Hair,@left_field,"Siwa Oasis, Egypt",during traffic in my car,10,Before the big storm,-,0.87,-,a of a woman with red hair,hair; shirt; memorabilia; drawn; tee; reprints; prints; printed; sample,0.7131; 0.2631; 0.2596; 0.2592; 0.2586; 0.2584; 0.2582; 0.2581; 0.2576,warm,-
image110,Portrait of the Table and Lamp,@red_velvet,"Luang Prabang, Laos",bar counter,9,After the last train,🍝,0.51,While sitting in traffic I started sketching on my phone,"a table, chairs, lamp, and curtains",chairs; curtains; lamp; dining; restaurant; tend; bureau; restaurants; cafe; table; kitchen,0.7592; 0.7516; 0.7464; 0.2826; 0.2773; 0.2771; 0.2762; 0.2756; 0.2745; 0.2744; 0.2734,mysterious,While sitting in traffic I started sketching on my phone
image111,Tennis Player,@aurora_borealis,"Berlin, Germany",bus seat,7,The festival weekend,🌙,0.67,-,a tennis player hitting the ball,ball; player; runner; running; tennis; exercise; paint; performer; marathon,0.729; 0.7252; 0.2821; 0.2775; 0.2699; 0.2635; 0.262; 0.26; 0.2592,mysterious,-
image112,Dreaming of the Shetland Collie,@hidden_gem,"Marrakesh, Morocco",in bed at midnight,38,Night of the eclipse,🍷,0.9,-,"collie, collies, shetland sheepdog",collie; collies; sheepdog; shetland; lion,0.7886; 0.781; 0.7628; 0.7122; 0.3034,serene,-
image113,Owls and Squirrels,@background_noise,"Luang Prabang, Laos",hotel balcony,28,Early spring 2005,☀️,0.69,-,"owls, squirrels, and trees",owls; squirrels; trees; tiles; tigers; tile; attempts; bookmarks; cards; birds,0.7919; 0.7565; 0.7223; 0.2779; 0.2715; 0.2714; 0.2671; 0.2661; 0.2651; 0.2648,serene,-
image114,Red Scissors Dream,@opal_dream,"Luang Prabang, Laos",toilet,2,Worst birthday I've ever had,🌙,0.72,-,"a pair of scissors, a red marker, and a of with the word 'scissors' written on it",scissors; pair; marker; word; signature; signatures; branch; branches; pins; nodes; sticks; variation,0.7721; 0.7575; 0.7426; 0.6828; 0.3; 0.2896; 0.2775; 0.2759; 0.2758; 0.2744; 0.2717; 0.2707,warm,-
image115,Between the Tiger Balm,-,"Acre, Israel",forest clearing,35,The day we met,☕,0.95,-,the tiger balm logo,logo; balm; tiger; tigers; seal,0.7688; 0.7604; 0.3154; 0.3109; 0.3025,mysterious,-
image116,Scallop Shell and Red Dots,@quartz_crystal,"New Orleans, USA",museum hallway,33,Early morning in August,☀️,-,-,a scallop shell with red dots,scallop; dots; shell; fossil; geological; diagram; segment; distribution; internal; cardiovascular,0.798; 0.7103; 0.2841; 0.2818; 0.2803; 0.2801; 0.2788; 0.2786; 0.2773; 0.277,warm,-
