filename,title,@creator,location,exact_spot,intimacy_level,date_stamp,daytime_icon,rawness_percent,BLIP_description,artistic_description,keywords,keyword_confidences,vibe,context
image1,Two Dolls in Study,@pink_flamingo,-,toilet,14,-,☀️,0.97,-,"a of two dolls, one wearing a shirt and the other wearing shorts",shorts; wearing; shirt; bodies; models; perfume; dolls; children; anatomy; heads; couple,0.7346; 0.7339; 0.7176; 0.2832; 0.2722; 0.2691; 0.2648; 0.2644; 0.2622; 0.2604; 0.2602,serene,Created it after a bee hovered over my coffee for too long
image10,Beneath the Birds,@stellar_wind,"Montreal, Canada",during traffic in my car,5,Third week of lockdown,🍷,0.52,-,two birds perched on a branch with yellow flowers,branch; flowers; birds; inkjet; bird; prints; painted; pair; preliminary; ecuador,0.7368; 0.7333; 0.2722; 0.2602; 0.258; 0.2555; 0.2541; 0.2531; 0.2526; 0.2523,warm,Created it while staring at my neighbor's cat through the window
image104,Ode to the Apple and Orange,@enigmatic_smile,"Montreal, Canada",kitchen table,11,Winter of '98,🍷,0.61,-,"an apple and an orange with the word ""love"" written on them",apple; orange; word; agricultural; agriculture; gras; plants; plant; vegetables; vegetable; peas,0.7371; 0.7023; 0.6857; 0.2897; 0.2838; 0.2734; 0.2725; 0.272; 0.2698; 0.2696; 0.268,warm,Sketched it while half-asleep on a yoga mat
image105,Shadows on the Inflatable,@kunzite_dawn,"Oaxaca, Mexico",attic room,13,First week of college,🍝,0.58,-,two people sitting on an inflatable duck in the water,water; google; animals; dogs; msn; pets; orgy; duck; seal,0.7088; 0.2807; 0.2744; 0.2715; 0.2708; 0.2684; 0.2668; 0.2607; 0.2606,mysterious,Painted it after watching an ant carry a crumb twice its size
image106,Ode to the Purple Monster,@orange_sunset,"Paris, France",train window seat,7,Winter break,-,0.92,-,a of a purple monster with yellow eyes and green leaves,monster; eyes; leaves; vegetable; produce; fruit; fig; onion; defend; vegetables; fruits,0.7409; 0.7177; 0.7137; 0.292; 0.2836; 0.2825; 0.2815; 0.2787; 0.276; 0.2755; 0.2715,cool,Made it while half-watching a movie I've seen 17 times
image107,Shadows of the Woman in White,-,"Chefchaouen, Morocco",in bed at midnight,15,On my sister's wedding day,🍷,0.61,-,a black and white of a woman's face,face; sudan; ana; diana; lady; belle; marina; carmen; jane,0.7486; 0.2713; 0.2682; 0.2658; 0.2647; 0.263; 0.2623; 0.2622; 0.2606,neutral,Drawn while wearing two different socks and feeling rebellious
image109,Ode to Many Things,@turquoise_sea,"Reykjavík, Iceland",during traffic in my car,5,Winter of '98,-,0.72,-,"a variety of items, including a woman in a blue dress, a dog, and a cat",items; variety; dress; blues; blue; objects; inventory; stamps; draws; symbols; shapes,0.7595; 0.7383; 0.7139; 0.2866; 0.2798; 0.2748; 0.2701; 0.2693; 0.2691; 0.269; 0.2686,melancholic,Made it while sitting on the bathroom counter brushing my teeth
image11,Homage to the Woman with Red Hair,@left_field,"Siwa Oasis, Egypt",during traffic in my car,5,Before the big storm,-,0.87,-,a of a woman with red hair,hair; shirt; memorabilia; drawn; tee; reprints; prints; printed; sample,0.7131; 0.2631; 0.2596; 0.2592; 0.2586; 0.2584; 0.2582; 0.2581; 0.2576,warm,Created it while waiting for my sourdough to rise
image111,Tennis Player,@aurora_borealis,"Berlin, Germany",bus seat,4,The festival weekend,🌙,0.67,-,a tennis player hitting the ball,ball; player; runner; running; tennis; exercise; paint; performer; marathon,0.729; 0.7252; 0.2821; 0.2775; 0.2699; 0.2635; 0.262; 0.26; 0.2592,mysterious,Made it while chewing gum and pacing the hallway
image112,Dreaming of the Shetland Collie,@hidden_gem,"Marrakesh, Morocco",in bed at midnight,15,Night of the eclipse,🍷,0.9,-,"collie, collies, shetland sheepdog",collie; collies; sheepdog; shetland; lion,0.7886; 0.781; 0.7628; 0.7122; 0.3034,serene,Painted it after chasing my cat around the kitchen
